User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
EmmaBest,100-469207,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/100-469207-74334/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,A copy of BUFILE 100-469207,1439042-000,FALSE,749,708,,,0.00,2019-05-29 19:21:24.582771+00:00,2019-06-26,2019-07-09 11:16:26.889182+00:00,100-469207-74334
aete2the,12ThreeThreeThree,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/12threethreethree-23077/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The number (quantity) of documents, guidelines, instructions, manuals, process documents or related materials regarding  activities authorized by Executive Order 12,333.  See http://www.archives.gov/federal-register/codification/executive-order/12333.html. Please note that the documents themselves are not requested - merely the existence / revision count of unique responsive documents. If the count of responsive documents is cumbersome to provide, the first page of each responsive document, redacted as necessary, is requested in stead. This allows equivalent count via ls piped to wc -l. Thank you!",NFP-52437,FALSE,1997,1981,,,0.00,2015-12-28 05:00:00+00:00,2016-01-27,2016-01-13 00:00:00+00:00,12threethreethree-23077
EmmaBest,161s 1985,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/161s-1985-30890/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 1985. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. 

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category.",NFP-64899,FALSE,1643,1493,Inventorying the FBI,fbi,0.00,2016-12-16 05:00:00+00:00,,2017-01-19 00:00:00+00:00,161s-1985-30890
EmmaBest,161s 1995,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/161s-1995-30891/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 1995. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. 

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category.",NFP-64900,FALSE,1643,1449,Inventorying the FBI,fbi,0.00,2016-12-16 05:00:00+00:00,,2017-06-28 00:00:00+00:00,161s-1995-30891
EmmaBest,161s 2001,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/161s-2001-33396/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 2001. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. As 161 files, like all FBI files, are numbered chronologically based on the order they are opened, the process to find files opened in 2002 is simple and straightforward, and therefore well within the bounds of a ""reasonable search"" even if it the search interface doesn't allow this process to be instantly automated.

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above), a fee waiver is warranted.","NFP-68860, DOJ-AP-2017-003713",FALSE,1582,1433,Inventorying the FBI,,0.00,2017-02-15 05:00:00+00:00,2017-03-16,2017-07-14 00:00:00+00:00,161s-2001-33396
EmmaBest,161s 2005,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/161s-2005-30892/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 2005. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. 

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category.",17.001964; NFP-64901,FALSE,1643,1493,Inventorying the FBI,fbi,0.00,2016-12-16 05:00:00+00:00,,2017-01-19 00:00:00+00:00,161s-2005-30892
mjguariglia,1919 Boston Police Strike,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/1919-boston-police-strike-77962/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any files retained or created by the FBI and its predecessor, the Bureau of Investigation, about the Boston police strike of 1919.",1443460-000,FALSE,692,680,,,0.00,2019-07-25 21:12:46.909345+00:00,2019-08-22,2019-08-06 20:35:38.384967+00:00,1919-boston-police-strike-77962
EmmaBest,2013 UAV chart,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/2013-uav-chart-60360/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,A copy of the chart described in the attached document.,"1416923-000, DOJ-AP-2019-002884",FALSE,1014,722,,,0.00,2018-09-06 16:43:53.090067+00:00,2018-10-04,2019-06-25 04:56:00+00:00,2013-uav-chart-60360
JosephRatliff,2017 FOIA Processing Costs Spike,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/2017-foia-processing-costs-spike-81122/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records pertaining to the sharp rise in FOIA request processing costs, amounting to $17,815,266.00 higher than the previous year, which occurred in 2017 (see Annual DOJ FOIA Reports for 2016, 2017, and 2018, particularly page 61 of the 2017 report).  

DOJ FOIA Report 2016: https://www.justice.gov/oip/page/file/920581/download
DOJ FOIA Report 2017: https://www.justice.gov/oip/page/file/1024596/download
DOJ FOIA Report 2018: https://www.justice.gov/oip/page/file/1135751/download",NFP-114294,FALSE,624,614,,,0.00,2019-10-01 18:16:46.001715+00:00,2019-10-30,2019-10-11 14:20:07.121547+00:00,2017-foia-processing-costs-spike-81122
EmmaBest,2019 Baltimore ransomware attack (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/2019-baltimore-ransomware-attack-federal-bureau-of-investigation-74779/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Emails, memos and reports mentioning or describing the May 7th 2019 ransomware attack on the city of Baltimore, when most of Baltimore's government computer systems were infected with a new and aggressive ransomware variant named RobbinHood.","1439045-000, DOJ-AP-2019-006986",FALSE,743,629,Hacking History,,0.00,2019-06-04 09:34:58.204162+00:00,2019-07-02,2019-09-26 12:34:16.492223+00:00,2019-baltimore-ransomware-attack-federal-bureau-of-investigation-74779
