User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
EmmaBest,161s 1986,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/161s-1986-33393/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 1986. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. As 161 files, like all FBI files, are numbered chronologically based on the order they are opened, the process to find files opened in 1986 is simple and straightforward, and therefore well within the bounds of a ""reasonable search"" even if it the search interface doesn't allow this process to be instantly automated.

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above), a fee waiver is warranted.",DOJ-AP-2017-00319,False,1582,1105,Inventorying the FBI,,0.00,2017-02-15 05:00:00+00:00,2017-03-16,2017-03-29 00:00:00+00:00,161s-1986-33393
EmmaBest,1972 Soviet Efforts to Influence U.S. Elites (Federal Bureau of Investigation),Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/1972-soviet-efforts-to-influence-us-elites-federal-bureau-of-investigation-63345/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to, mentioning or resulting from investigations of or attempts to monitor Soviet Efforts to influence U.S. leaders and elites as described in LOC-HAK-452-4-1-4. 

I am a member of the news media and request classification as such. I have previously written about the government and its activities, with some reaching over 100,000 readers in outlets such as MuckRock, Motherboard, Property of the People, AND Magazine, Unicorn Riot, and more. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through non-profits such as the library Internet Archive and and the journalist non-profit, MuckRock, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance.

Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross- section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media.

Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category.

As my primary purpose is to inform about government activities by reporting on it and making the raw data available, I request that fees be waived.","1421625-000, DOJ-AP-2019-002527, DOJ-AP-2020-000039",False,955,560,,,0.00,2018-11-04 22:02:01.355724+00:00,2018-12-04,2019-01-31 13:11:41.939164+00:00,1972-soviet-efforts-to-influence-us-elites-federal-bureau-of-investigation-63345
jwenger,1973 FBI Employee Telephone Directory -- Identification Division,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/1973-fbi-employee-telephone-directory-identification-division-104417/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"-- A 1973 telephone directory of all employees of the FBI's Identification Division. If multiple months are available, I am requesting the June 1973 directory.

As supporting documentation, I'm including the URL of a previously released collection of equivalent materials, namely an FBI telephone directory of officials and supervisors dated July 1975: https://www.archives.gov/files/research/jfk/releases/docid-32989712.pdf.",1480348-000,False,228,139,,"directories,fbi employee,fbi foia files",0.00,2020-10-31 00:55:53.641587+00:00,2020-12-01,2020-12-23 04:56:00+00:00,1973-fbi-employee-telephone-directory-identification-division-104417
EmmaBest,92-0711-TAF,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/92-0711-taf-80568/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of FBI file 92-0711, which may be listed under CA-92-0711-TAF, CA-92-0711 or 92-0711-TAF. 

Note that this is an FBI file. Despite my clearly labeling it as such two years ago, you decided it was a court case despite it not being a court case number (which DOJ even admitted was clear on inspection, even if one didn't see it labeled ""FBI file,"" and closed the request.",1447441-000,False,638,603,,,0.00,2019-09-17 13:48:25.924397+00:00,2019-10-16,2019-10-17 14:00:19.689090+00:00,92-0711-taf-80568
EmmaBest,Abbey A. Rockefeller,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/abbey-a-rockefeller-60613/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to or mentioning Abigail Aldrich ""Abby"" Rockefeller AKA Abbey Rockefeller (November 9, 1903 – May 27, 1976), an American philanthropist. She was the first child and only daughter of philanthropists John Davison Rockefeller Jr. and Abigail Greene ""Abby"" Aldrich. Proof of death is not required as she was born over 100 years ago. The FBI has previously acknowledged files relating to the subject, as shown in the attached document.",1416901-000,False,1009,856,,,0.00,2018-09-11 17:09:00.338668+00:00,,,abbey-a-rockefeller-60613
vale,Aleksandr Vasilyevich Tikhomirov,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/aleksandr-vasilyevich-tikhomirov-107069/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records mentioning, relating to, or generated a a result of investigation of Aleksandr Vasilyevich Tikhomirov. Tikhomirov was a KGB officer operating under official cover as a translator for the United Nations. He was arrested by the FBI on February 7, 1970, and deported following the dismissal of his charges, as noted in the Attorney General's 1970 Annual Report: https://books.google.com/books?id=z2lOAQAAMAAJ&pg=PA148&lpg=PA148&dq=Aleksandr+Vasilyevich+Tikhomirov&source=bl&ots=njhq1up97e&sig=ACfU3U3mfyksAWq9OTqnaxJ9vaGr8jbGxg&hl=en&sa=X&ved=2ahUKEwiNpcekr8zlAhVvhOAKHYdOBlIQ6AEwBnoECAYQAQ

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, individuals, agencies and companies. This is also to include any responsive records held in offsite locations, such as the Alexandria Records Center. Please include both investigatory and non-investigatory records in your search. If any potentially responsive records have been destroyed and/or transferred to NARA, then I request copies of the destruction or transfer slips as well as any other documentation relating to, mentioning or describing said transfer or destruction, to include but not be limited to confirmation that the Bureau has no other copies of said records. If previously released records are available, then I request a rolling release consisting of those records while additional records are located and processed for release.",A-21-01167,False,149,107,,,0.00,2021-01-18 17:10:34.398176+00:00,2021-02-16,2021-01-26 04:56:00+00:00,aleksandr-vasilyevich-tikhomirov-107069
pointofthespear,All FBI Documents Pertaining to the FBI Vetting of Rod Rosenstein for Deputy Attorney General and for U.S. Attorney for Maryland,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/all-fbi-documents-pertaining-to-the-fbi-vetting-of-rod-rosenstein-for-deputy-attorney-general-and-for-us-attorney-for-maryland-80605/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"To Whom It May Concern:

Pursuant to the { law name }, I hereby request the following records:

All FBI Documents Pertaining to the FBI Vetting of Rod Rosenstein for Deputy U.S. Attorney General and for U.S. Attorney for Maryland.

The requested documents will be made available to the general public, and this request is being made for commercial purposes.

In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter.

I look forward to receiving your response to this request within { days }.

Sincerely,

{ name }",1448109-000,False,637,580,,"alleged fbi corruption,bankruptcy fraud,charles richard longo sr.,dale kelberman,d.c. headquarters,florida,gilbert sapperstein,lynne battaglia,maryland,money laundering,virginia,william f. howard",0.00,2019-09-18 01:27:46.980299+00:00,2019-10-16,2019-10-08 04:56:00+00:00,all-fbi-documents-pertaining-to-the-fbi-vetting-of-rod-rosenstein-for-deputy-attorney-general-and-for-us-attorney-for-maryland-80605
oantar,"all information, documents, records, and communications within the FBI/DOJ regarding the Yale Emergency Medicine Department (New Haven, CT) around 12/17/2008",Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/all-information-documents-records-and-communications-within-the-fbidoj-regarding-the-yale-emergency-medicine-department-new-haven-ct-around-12172008-26309/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"I request all information, documents, records, and communications within the FBI/DOJ regarding the Yale Emergency Medicine Department (New Haven, CT) around 12/17/2008, including  emails of that date (and other dates) to external parties (candidate(s) or future candidate(s) for the Governorship of Connecticut) and internet usage from person(s) associated with the Yale Emergency Medicine Department.  The information and records may include those beyond information created by the FBI, but also include information, records from other entities, such as the NYPD, CT State Police, Yale PD, CIA, NYC Mayor's office (Howard Wolfson), New Haven PD, etc. I would like copies of all information, records, emails, phone logs/transcripts, letters, notes, memoranda, and all electronic or non-electronic communications/records/information.","1352812-000, DOJ-AP-2016-004389",False,1825,1105,,,0.00,2016-06-17 04:00:00+00:00,2016-07-18,2016-06-29 00:00:00+00:00,all-information-documents-records-and-communications-within-the-fbidoj-regarding-the-yale-emergency-medicine-department-new-haven-ct-around-12172008-26309
oantar,"all information, documents, records, and communications within the FBI/DOJ surrounding a lecture by Noam Chomsky lecture on 5/25/2002 at Montefiore Hospital, Bronx, NY, an affiliate of Albert Einstein College of Medicine",Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/all-information-documents-records-and-communications-within-the-fbidoj-surrounding-a-lecture-by-noam-chomsky-lecture-on-5252002-at-montefiore-hospital-bronx-ny-an-affiliate-of-albert-einstein-college-of-medicine-26310/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"I request all information, documents, records, and communications within the FBI/DOJ surrounding a lecture by Noam Chomsky lecture on 5/25/2002 at Montefiore Hospital, Bronx, NY, an affiliate of Albert Einstein College of Medicine, at which uniformed NYPD (New York Police Department) officers were present, uninvited by the organizers.   These records should include all information, documents, records, and communications regarding the preparation and reaction to the lecture from months before and after the Chomsky lecture date of 5/25/2002, particularly within the administration of and people associated (including donors and proxies) with Albert Einstein College of Medicine, Montefiore Hospital, NYPD, CIA, NYC Police Foundation, and foreign power(s).  I would like copies of all emails, phone logs/transcripts, letters, notes, memoranda, and all electronic or non-electronic communications/records/information.

https://www.youtube.com/watch?v=kUKv1_GOK08",DOJ-AP-2016-004569,False,1825,1532,,,0.00,2016-06-17 04:00:00+00:00,2016-07-18,2017-01-20 00:00:00+00:00,all-information-documents-records-and-communications-within-the-fbidoj-surrounding-a-lecture-by-noam-chomsky-lecture-on-5252002-at-montefiore-hospital-bronx-ny-an-affiliate-of-albert-einstein-college-of-medicine-26310
EmmaBest,Amiram Nir,Awaiting Appeal,https://www.muckrock.com/foi/united-states-of-america-10/amiram-nir-30161/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Amiram Nir (Hebrew: עמירם ניר‎‎; 8 December 1950 - 30 November 1988), who was an Israeli journalist. He had also been a terrorism advisor to two Israeli Prime Ministers, and played a role in the Iran-Contra Affair. His death has been widely reported. http://www.nytimes.com/1988/12/06/world/nir-s-fatal-mexico-visit-called-a-business-trip.html","1362460-000, DOJ-AP-2017-001923",False,1666,1105,"Iran-Contra, October Surprise and Reagan's Wrongs",,0.00,2016-11-23 05:00:00+00:00,2016-12-22,2016-12-29 00:00:00+00:00,amiram-nir-30161
