User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
EmmaBest,100-18762 Harry Hay,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/100-18762-harry-hay-60143/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-05-28,,A copy of FBI file 100-18762.,,False,1021,840,Freedom of LGBTQIA+ Information,,0.00,2018-08-30 12:05:11.174398+00:00,2018-09-28,,100-18762-harry-hay-60143
EmmaBest,105-223351,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/105-223351-74332/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-08-28,,A copy of BUFILE 105-223351,,False,749,730,,,0.00,2019-05-29 19:20:03.975476+00:00,2019-06-26,,105-223351-74332
EmmaBest,$10 Million Hack,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/10-million-hack-54191/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-03-20,,"Records relating to or mentioning the case in the attached document, taken from the FBI's public website at https://www.fbi.gov/news/stories/a-byte-out-of-history-10-million-hack.",,False,1123,849,Hacking History,,0.00,2018-05-20 11:08:48.911320+00:00,2018-06-18,,10-million-hack-54191
EmmaBest,157-21356,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/157-21356-74335/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-08-28,,A copy of BUFILE 157-21356.,,False,749,730,,,0.00,2019-05-29 19:21:52.140457+00:00,2019-06-26,,157-21356-74335
EmmaBest,161s 1996,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/161s-1996-33394/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-04-07,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 1996. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. As 161 files, like all FBI files, are numbered chronologically based on the order they are opened, the process to find files opened in 1986 is simple and straightforward, and therefore well within the bounds of a ""reasonable search"" even if it the search interface doesn't allow this process to be instantly automated.

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above), a fee waiver is warranted.","NFP-68861, DOJ-AP-2017-003717",False,1582,831,Inventorying the FBI,,0.00,2017-02-15 05:00:00+00:00,2017-03-16,2017-03-29 00:00:00+00:00,161s-1996-33394
EmmaBest,161s 2002,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/161s-2002-33397/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-04-07,,"The initiating and terminating documents for all 161 files (Special Inquiries for White House, Congressional Committees and Other Government Agencies) opened or closed in 2002. In addition to this, I request the first 10 other releasable pages and the last 10 other releasable pages from each file and the first and last instance releasable instances of communications from the White House, Congressional Committees or Other Government Agencies as appropriate. As 161 files, like all FBI files, are numbered chronologically based on the order they are opened, the process to find files opened in 2002 is simple and straightforward, and therefore well within the bounds of a ""reasonable search"" even if it the search interface doesn't allow this process to be instantly automated.

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above), a fee waiver is warranted.",DOJ-AP-2017-003716,False,1582,831,Inventorying the FBI,,0.00,2017-02-15 05:00:00+00:00,2017-03-16,2017-03-29 00:00:00+00:00,161s-2002-33397
EmmaBest,174-1891,Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/174-1891-91000/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2020-12-30,,A copy of FBI file 174-1891.,,False,450,198,,the weathermen,0.00,2020-03-23 12:41:48.006752+00:00,2020-04-20,,174-1891-91000
EmmaBest,1776 (Federal Bureau of Investigation),Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/1776-federal-bureau-of-investigation-63917/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-05-20,,"Files mentioning the dark net market 1776, which operated at the web address n6tzonxy7sod7eqt.onion from 2014-04-19 to 2014-10-02.

I am a member of the news media and request classification as such. I have previously written about the government and its activities, with some reaching over 100,000 readers in outlets such as MuckRock, Motherboard, Property of the People, AND Magazine, Unicorn Riot, and more. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through non-profits such as the library Internet Archive and and the journalist non-profit, MuckRock, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance.

Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross- section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media.

Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category.

As my primary purpose is to inform about government activities by reporting on it and making the raw data available, I request that fees be waived.",,False,941,848,,,0.00,2018-11-18 03:49:42.987407+00:00,2018-12-17,,1776-federal-bureau-of-investigation-63917
joecover,18 U.S.C. § 2258A notifications (Federal Bureau of Investigation),Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/18-usc-2258a-notifications-federal-bureau-of-investigation-82261/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2021-09-08,,"Reports describing the frequency which tech and communications companies notify the child exploitation tip line that led to the following statistic:

On October 4,  Stacie B Harris, Associate Deputy Attorney General & National Coordinator for Child Exploitation & Human Trafficking, mentioned during a public DOJ summit on encryption that 90% of tips to the child exploitation tipline by tech companies come from Facebook. I'm looking for documentation to verify the statistic in that public forum.",DOJ-2020-000839,False,597,6,,,0.00,2019-10-27 23:31:49.654643+00:00,2019-12-06,,18-usc-2258a-notifications-federal-bureau-of-investigation-82261
RaymondGuiducci,"1957 USSR Spy Col Rudolf Abel Arrested,I tailed him for 5yrs,415-756-4400: SF,CA",Awaiting Response,https://www.muckrock.com/foi/united-states-of-america-10/1957-ussr-spy-col-rudolf-abel-arrestedi-tailed-him-for-5yrs415-756-4400-sfca-48487/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2021-08-22,,I tailed KGB Spy Col Rudolf Abel 5 yrs for FBI,,False,1224,23,,,0.00,2018-02-08 05:00:00+00:00,2018-03-09,,1957-ussr-spy-col-rudolf-abel-arrestedi-tailed-him-for-5yrs415-756-4400-sfca-48487
