User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
mjguariglia,"23andMe, Inc.",Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/23andme-inc-52882/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any contracts or legal agreements held between the Federal Bureau of Investigation and 23andMe, Inc.",,False,1147,1098,,,0.00,2018-04-26 04:00:00+00:00,,,23andme-inc-52882
TransparentByDefault,Adam Lanza [FBI],Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/adam-lanza-fbi-14310/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all documents mentioning or profiling Adam Lanza, who died as part of the  December 14, 2012 Sandy Hook Elementary School shooting.

Specifically, please provide all documents detailing his online activity prior to the events, as well as any other digital forensic information recovered. ",1313873-000,False,2398,1113,,,0.00,2014-11-22 05:00:00+00:00,,,adam-lanza-fbi-14310
EmmaBest,AIM,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/aim-34445/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"American Indian Movement (AIM)	HQ-1630037482
AIM	HQ-1570031106
AIM	HQ-1000447545
AIM	HQ-1000453415
AIM	HQ-0620090060
AIM	HQ-1960002531
AIM	HQ-1000462483
AIM	HQ-1760002404
AIM	HQ-0700000000
AIM	HQ-0620116878
AIM	HQ-1570028442
AIM	HQ-1570039925
AIM	HQ-1570301106
AIM	HQ-1570031621
MP-1570001475
AIM	HQ-1570032584
OC-1570001330
AIM	HQ-1570030562
DE-1000038977
AIM	HQ-1570027976
PX-1570001436
AIM	HQ-1570032618
MP-1570001472
AIM	HQ-1570031240
AIM	HQ-1570030150
SC-1000004539
AIM	HQ-1570031996
PX-1570001606
AIM	HQ-1570028004
AIM	HQ-1570028691
MI-1570002041
AIM	HQ-1570028141
OM-1000008993
AIM	HQ-1570028142
MP-1570001474
AIM	HQ-1570032278
PD-1570001449
AIM	HQ-1570031709
MP-1570001469
AIM	HQ-1570027978
OC-1570001318
AIM	HQ-1570027079
OC-1570001334
AIM	HQ-1570027977
CE-1570008913
AIM	HQ-1570035082
PX-1570002492
AIM	HQ-1570035101
AIM	HQ-1570035137
AIM	HQ-1050203686
FO-1000999990
AIM	HQ-1740007149
AIM	HQ-1900008274
AIM	HQ-1970001264","1396784-000, DOJ-AP-2018-008402",False,1217,705,,,2335.00,2018-02-15 05:00:00+00:00,,,aim-34445
Indybay,Alan Courtney Greenberg Files,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/alan-courtney-greenberg-files-79065/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"- All files on deceased American businessman Alan Courtney Greenberg (September 3, 1927 - July 25, 2014) including cross-referenced documents and ELSUR records. Proof of his death is not required, as his death has been widely reported: https://www.nytimes.com/2014/07/26/business/alan-c-greenberg-is-dead-at-86-led-bear-stearns-through-its-rise-and-fall.html",,False,668,651,,,0.00,2019-08-18 21:18:11.124272+00:00,,,alan-courtney-greenberg-files-79065
vale,Alchemy,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/alchemy-93987/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records captioned ""Alchemy"", including file 100-HQ-442715. This was described in FBI records as the operation of the Ad Hoc Committee for a Marxist-Leninist Society (AHC), a ""'notational' Pro-Marxist-Leninist-Maoist domestic revolutionary organization staffed by Bureau assets directed at uncovering PRC intelligence activities in the United States."" (https://www.archives.gov/files/research/jfk/releases/2018/docid-32989624.pdf);  (https://archive.org/stream/MarkFelt/1104977-001%20---%2062-HQ-118045%20---%20Section%2010%20%28867523%29#page/n177/mode/2up/search/alchemy)

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, individuals, agencies and companies. If any potentially responsive records have been destroyed and/or transferred to NARA, then I request copies of the destruction or transfer slips as well as any other documentation relating to, mentioning or describing said transfer or destruction, to include but not be limited to confirmation that the Bureau has no other copies of said records. If previously released records are available, then I request a rolling release consisting of those records while additional records are located and processed for release.",1467332-000,False,381,300,,,0.00,2020-05-31 17:42:30.712123+00:00,,,alchemy-93987
EmmaBest,Alexander Kuznetsov,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/alexander-kuznetsov-74936/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records mentioning or describing Alexander Konstantinovich Kuznetsov (Russian: Александр Константинович Кузнецов; December 2, 1959 – June 6, 2019).",1439273-000,False,741,650,,,0.00,2019-06-06 11:05:41.447148+00:00,,,alexander-kuznetsov-74936
AllanGreenier,Allan Greenier fbi records,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/allan-greenier-fbi-records-62311/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"In high school in the early 70’s, I published an underground newspaper. The vice principal told me he reported me to the fbi.",1419662-000,False,977,965,,,0.00,2018-10-13 01:19:24.749566+00:00,,,allan-greenier-fbi-records-62311
EmmaBest,Alleged Compromise of FBI Laptop,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/alleged-compromise-of-fbi-laptop-68429/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Files, memos, emails, reports and other materials mentioning the alleged compromise of an FBI laptop, which reportedly resulted in the leak of private data regarding Apple UDIDs. Please include in the response, but do not limit it to, materials relating to or mentioning the Bureau's investigation of the allegations and how it determined there was no evidence of a compromise. The compromise of the laptop reportedly took place in March 2012.",1428235-000,False,864,75,,,0.00,2019-02-03 03:06:56.381219+00:00,,,alleged-compromise-of-fbi-laptop-68429
Meech1277,ALL RECORDS FILES DOCUMENTS ON TARGETED INDIVIDUAL Michelle Parrish,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/all-records-files-documents-on-targeted-individual-michelle-parrish-80340/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"On or about April 2013, FOIA Requester Michelle Parrish  sent a FOIA request CBP-2019- 084475 to FBI requesting and seeking access to ""all records, files"" etc., regarding pertaining concerning or related to herself, Michelle Parrish , for any reason, for the dates requested in that FOIA request, including all records, files, correspondence, documents, emails, audio and video surveillance footage, processing records, control files, evidence, proof, documentation, traces, confirmation, verification, testimony, witness notes, memos, registers, notations, information, entries, files, details, data, facts, etc., of any kind and for whatever reason, responsive to this request, for the dates of January 2nd 1977 through the present day of September 12, 2019 currently in the possession, custody or control of the FBI.  

Again, I, Michelle Parrish , request ""all records, files"" etc., regarding pertaining concerning or related to herself, Michelle Parrish , for any reason, for the dates requested in that FOIA request, including all records, files, correspondence, documents, emails, audio and video surveillance footage, processing records, control files, evidence, proof, documentation, traces, confirmation, verification, testimony, witness notes, memos, registers, notations, information, entries, files, details, data, facts, etc., of any kind and for whatever reason, responsive to this request, for the dates of January 2, 1977  through the present day of September 12, 2019 currently in the possession, custody or control of the FBI.",1447146-000,False,643,636,,,0.00,2019-09-12 19:40:06.246354+00:00,,,all-records-files-documents-on-targeted-individual-michelle-parrish-80340
bansheerider888,All Records Pertaining to Daniel Cullen,Fix Required,https://www.muckrock.com/foi/united-states-of-america-10/all-records-pertaining-to-daniel-cullen-97657/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"I am requesting any and all records pertaining to myself, Daniel Cullen from 2012-2020.",,False,348,330,,,0.00,2020-07-03 12:59:56.445082+00:00,,,all-records-pertaining-to-daniel-cullen-97657
