User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
foiathedead,"Adnan Khashoggi, FBI file",Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/adnan-khashoggi-fbi-file-38568/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Adnan Khashoggi, an obituary of whom was published in The New York Times on June 6, 2017 under the headline ""Adnan Khashoggi, High-Living Saudi Arms Trader, Dies at 81"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2017/06/06/world/middleeast/adnan-khashoggi-dead-saudi-arms-trader.html.",1377420-000,False,1470,1133,From Watergate to Iran-Contra to Epstein: Adnan Khashoggi's gilded life in FOIL,,0.00,2017-06-07 04:00:00+00:00,,,adnan-khashoggi-fbi-file-38568
EmmaBest,Adolfo Calero,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/adolfo-calero-24983/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Adolfo Calero D. 6/2/2012 leader of American-backed contra rebels,1348171-000,False,1898,1780,"Iran-Contra, October Surprise and Reagan's Wrongs",,0.00,2016-04-05 04:00:00+00:00,,,adolfo-calero-24983
EmmaBest,Alfred K Stern,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/alfred-k-stern-33771/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to or mentioning Alfred K Stern (1897-1986),  an accused spy. 

Proof of death: This individual is listed as dead in the FBI's Dead List, which also confirms the existence of the file. Per FBI standards and regulations, an FBI file is acceptable proof of death. For your convenience, a copy of the list may be found at https://archive.org/details/FBIRIDsDeadList2015 HOWEVER, as he was born over 100 years ago no proof of death is required at all.

Please conduct a search of the Central Records System, including but not limited to the ELSUR Records System, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, individuals, agencies and companies. If any potentially responsive records have been destroyed and/or transferred to NARA, then I request copies of the destruction or transfer slips as well as any other documentation relating to, mentioning or describing said transfer or destruction, to include but not be limited to confirmation that the Bureau has no other copies of said records (as the Bureau has posted copies of records that it previously said were transferred to NARA such as the Tokyo Rose file).

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above), a fee waiver is warranted.",1368644-000,False,1576,1008,,,1300.00,2017-02-21 05:00:00+00:00,,,alfred-k-stern-33771
EmmaBest,Amerasia,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/amerasia-31237/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to or mentioning the Amerasia affair. 

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records of both HQ and New York field offices for all relevant names, agencies, organizations, companies and events. As there are previously processed records are available, I request a rolling release consisting of those records while additional records are located and processed for release.

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived.",1363779-000,False,1636,1538,,,0.00,2016-12-23 05:00:00+00:00,,,amerasia-31237
sixty91,Arkansas Development Finance Authority,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/arkansas-development-finance-authority-35728/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2017-10-20,,"Any and all files on held on the Arkansas Development Finance Authority.

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices.",1371374-000,False,1535,1365,,,0.00,2017-04-03 04:00:00+00:00,2017-07-07,,arkansas-development-finance-authority-35728
EmmaBest,Bernard Barker,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/bernard-barker-25449/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Bernard Leon Barker (March 17, 1917 – June 5, 2009) who was a Watergate burglar. He had a long career as an undercover operative. His death has been widely reported. http://www.theguardian.com/world/2009/jun/08/bernard-barker-obituary

 I am explicitly requesting previously a search be performed for unreleased records. Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records at FBI Headquarters, all field offices and all resident agencies. If some records may be released immediately while others require a review, I request a two-tiered release.

I am making this request as a member of the news media, and request classification as such. I have previously written on intelligence agencies such as CIA and FBI. http://andmagazine.com/us/1431865273.html",1350127-000,False,1872,1196,,,0.00,2016-05-01 04:00:00+00:00,,2016-06-10 00:00:00+00:00,bernard-barker-25449
EmmaBest,Charles Keating,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/charles-keating-30272/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to Charles Humphrey Keating, Jr. (December 4, 1923 – March 31, 2014) was an American athlete, lawyer, real estate developer, banker, financier, and activist best known for his role in the savings and loan scandal of the late 1980s. http://www.nytimes.com/2014/04/02/business/charles-keating-key-figure-in-the-1980s-savings-and-loan-crisis-dies-at-90.html

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, individuals, agencies and companies.

I am a member of the news media and request classification as such. I have previously written about the Bureau for AND Magazine, MuckRock and Glomar Disclosure. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established.",1362084-000,False,1665,1105,"Iran-Contra, October Surprise and Reagan's Wrongs",,3355.00,2016-11-24 05:00:00+00:00,,2016-12-13 00:00:00+00:00,charles-keating-30272
chwaltman,Children of God FBI Files,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/children-of-god-fbi-files-31377/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of any files the FBI has on the Children of God. Please include any files that reference the Children of God. 

The Children of God is a religious group many consider a cult which has been active in the US since the early seventies.",1363993-000,False,1631,1493,,,0.00,2016-12-28 05:00:00+00:00,,,children-of-god-fbi-files-31377
EmmaBest,Contreras FBI,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/contreras-fbi-30844/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to Juan Manuel Guillermo ""Mamo"" Contreras Sepúlveda (4 May 1929 – 7 August 2015) who was a Chilean military officer and the former head of the National Intelligence Directorate (DINA), Chile's secret police during the dictatorship of General Augusto Pinochet. In 1995 he was sentenced to seven years in prison for the murder in Washington, D.C., USA of Chilean diplomat Orlando Letelier, which he served until 2001. At the time of his death in August 2015, Contreras was serving 59 unappealable sentences totaling 529 years in prison for kidnapping, forced disappearance and assassination. His death has been widely reported. https://www.theguardian.com/world/2015/aug/08/manuel-contreras-head-of-chiles-spy-agency-under-pinochet-dies-aged-86

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, agencies, organizations and companies including but not limited to those cited in the obituaries and biographies cited in the previous paragraph.

I am a member of the news media and request classification as such. I have previously written about the Bureau for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established.",1363171-000,False,1646,1570,,,0.00,2016-12-13 05:00:00+00:00,,,contreras-fbi-30844
sixty91,Cyrus Hashemi,Payment Required,https://www.muckrock.com/foi/united-states-of-america-10/cyrus-hashemi-34398/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Cyrus Hashemi (also spelled Hashimi; c.1942 - 21 July 1986) was an Iranian arms dealer linked to the Iran-Contra affair and October Surprise conspiracy theory. Hashemi was named by Robert Dreyfuss as a CIA and Mossad agent; Hashemi sued Dreyfuss and Lyndon LaRouche, whose Executive Intelligence Review had linked Hashemi to funding of Iranian terrorism,with the case dismissed in June 1983 due to Hashemi's failure to respond to legal documents.Hashemi died in 1986 in London in mysterious circumstances; the official cause of death was ""a rare and virulent form of leukemia that was diagnosed only two days before Hashemi died.""",1369487-000,False,1561,964,,,610.00,2017-03-08 05:00:00+00:00,,,cyrus-hashemi-34398
