User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
morisy,2012 FBI Dead List,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/2012-fbi-dead-list-3224/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"An interim response, stating the request is being processed.",1210689-000,False,3028,2967,Inventorying the FBI,,0.00,2013-03-02 05:00:00+00:00,,,2012-fbi-dead-list-3224
beryllipton,2013 calendar of training sessions held at the National Academy,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/2013-calendar-of-training-sessions-held-at-the-national-academy-12689/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,The calendar of training sessions provided by the National Academy during the year 2013. ,1296412-000,False,2517,2423,,,0.00,2014-07-26 04:00:00+00:00,,,2013-calendar-of-training-sessions-held-at-the-national-academy-12689
EmmaBest,AAG 2/13/76 authorizing memo,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/aag-21376-authorizing-memo-66464/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of the Assistant Attorney General 2/13/76 memorandum to the FBI authorizing an investigation into the disclosure and publication of allegedly classified information by ""The Village Voice,"" on or about February 11, 1976",1425701-000,False,904,862,,,0.00,2018-12-25 16:36:00.192308+00:00,,,aag-21376-authorizing-memo-66464
sixty91,Aaron Swartz,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/aaron-swartz-34491/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2017-09-10,,Any and all files on Aaron Swartz.,EMRUFOIA030717-6,False,1563,1405,,,0.00,2017-03-06 05:00:00+00:00,2017-04-03,,aaron-swartz-34491
EmmaBest,AEC wiretap,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/aec-wiretap-50298/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2018-06-14,,A copy of the file referenced in the attached FBI letter.,,False,1197,1128,,,0.00,2018-03-07 05:00:00+00:00,2018-04-06,,aec-wiretap-50298
USSLiberty,Ahorn Jay Cristol,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/ahorn-jay-cristol-43060/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all FBI files or documents on Capt. Ahorn Jay Cristol, JAGC, USN, (Ret), currently a Bankruptcy Judge in the U.S. Bankruptcy Court for the Southern District of Florida and author of ""The Liberty Incident"" and ""The Liberty Incident Revealed.""",1385160-000,False,1367,1363,,,0.00,2017-09-18 04:00:00+00:00,,,ahorn-jay-cristol-43060
sixty91,Alan Cranston,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/alan-cranston-38352/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2017-07-28,,"Any and all file you hold on Alan MacGregor Cranston (June 19, 1914 – December 31, 2000) was an American politician and journalist who served as a United States Senator from California, from 1969 to 1993.

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, agencies, organisations and companies including but not limited to those cited in the links I have cited.

https://www.theguardian.com/news/2001/jan/02/guardianobituaries
http://www.nytimes.com/2001/01/01/us/alan-cranston-former-us-senator-is-dead-at-86.html",,False,1476,1439,,,0.00,2017-06-01 04:00:00+00:00,2017-06-29,,alan-cranston-38352
sixty91,Alan Cranston,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/alan-cranston-35734/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all file on Alan MacGregor Cranston (June 19, 1914 – December 31, 2000) was an American politician and journalist who served as a United States Senator from California, from 1969 to 1993.

Proof of death not required as his death was widely reported at the time:

https://www.theguardian.com/news/2001/jan/02/guardianobituaries
http://www.nytimes.com/2001/01/01/us/alan-cranston-former-us-senator-is-dead-at-86.html
https://en.wikipedia.org/wiki/Alan_Cranston

In addition please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices with all the names and events I have mentioned.",1380933-000,False,1535,1323,,,0.00,2017-04-03 04:00:00+00:00,,,alan-cranston-35734
kbraddock,"Any documents relating to TrueCrypt software, its developers and the TrueCrypt Foundation (Federal Bureau of Investigation)",Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/any-documents-relating-to-truecrypt-software-its-developers-and-the-truecrypt-foundation-federal-bureau-of-investigation-19979/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A- Any documents relating to the software known as ""TrueCrypt"" or any other software built off of or using TrueCrypt source code.

B- Any documents relating to the developers of TrueCrypt as well as any known contributors to the TrueCrypt project.

C- Any communications or any kind relating to TrueCrypt or its development team.

Please include any processing notes made in completing this request.",AP-16-00293 ; 1333969-000,False,2149,649,Public Domain Programming: the Source Code of the Government,,0.00,2015-07-29 04:00:00+00:00,2015-08-26,2015-09-23 00:00:00+00:00,any-documents-relating-to-truecrypt-software-its-developers-and-the-truecrypt-foundation-federal-bureau-of-investigation-19979
pointofthespear,"Any FBI documents pertaining to the Alleged Falsified Affidavit of Maryland assistant Attorney General, William F. Howard",Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/any-fbi-documents-pertaining-to-the-alleged-falsified-affidavit-of-maryland-assistant-attorney-general-william-f-howard-43838/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any FBI investigation into an alleged falsified affidavit filed by Maryland Assistant Attorney General, William F. Howard in the lawsuit of Charles Richard Longo Sr. and Donald Stone Industries Inc. vs. Donald Stone, Longo's co-plaintiffs in this lawsuit were Gilbert Sapperstein (during the time Gilbert was busy stealing the $3.5 million from Baltimore School Board early 1990's-2003), Bruff J. Procter, Robert Warfield Sr., Hal P. Glick and Bruce A. Moore. (See Attached Affidavit and evidence against Howard, DOJ notes from Sept. 26, 1994 meeting).",1385613-000,False,1361,1356,,,0.00,2017-09-24 04:00:00+00:00,,,any-fbi-documents-pertaining-to-the-alleged-falsified-affidavit-of-maryland-assistant-attorney-general-william-f-howard-43838
